S_No,District,HH_Issued_Jobcards_SCs,HH_Issued_Jobcards_STs,HH_Issued_Jobcards_Others,HH_Issued_Jobcards_Total,HH_Provided_Employment_SCs,HH_Provided_Employment_STs,HH_Provided_Employment_Others,HH_Provided_Employment_Total,Employment_Provided_No_of_Women,Workers_Provided_Employment_SCs,Workers_Provided_Employment_STs,Workers_Provided_Employment_Others,Workers_Provided_Employment_Total,Persondays_Generated_SCs,Persondays_Generated_STs,Persondays_Generated_Others,Persondays_Generated_Total,Persondays_Generated_Women,Families_Completed_100_Days_SCs,Families_Completed_100_Days_STs,Families_Completed_100_Days_Others,Families_Completed_100_Days_Total
1,CHANGLANG,2,11475,2911,14388,2,9240,2509,11751,3663,2,9961,2518,12481,66,488532,135955,624553,180907,0,0,0,0
2,EAST KAMENG,7,19506,443,19956,7,16501,395,16903,6742,7,17124,404,17535,338,833570,20463,854371,322257,0,0,0,0
3,EAST SIANG,1,7574,27,7602,1,3638,27,3666,1346,1,3640,27,3668,14,53144,378,53536,20427,0,0,0,0
4,KAMLE,2,7594,80,7676,0,3719,70,3789,1750,0,3719,70,3789,0,130567,5144,135711,62703,0,0,0,0
5,KRA-DAADI,0,14850,9,14859,0,11727,4,11731,6424,0,12815,4,12819,0,768966,140,769106,391880,0,123,0,123
6,KURUNG KUMEY,0,16746,197,16943,0,13402,167,13569,6453,0,14242,169,14411,0,475107,8601,483708,222247,0,0,0,0
7,LEPARADA,0,3049,35,3084,0,143,0,143,46,0,143,0,143,0,5070,0,5070,1560,0,0,0,0
8,LOHIT,0,4667,500,5167,0,4464,462,4926,2414,0,4488,463,4951,0,336439,34142,370581,180723,0,0,0,0
9,LONGDING,0,9233,0,9233,0,5831,0,5831,1286,0,6334,0,6334,0,134594,0,134594,24524,0,0,0,0
10,LOWER DIBANG VALLEY,8,7169,577,7754,7,5652,422,6081,2562,7,5681,427,6115,152,125566,10130,135848,57638,0,0,0,0
11,LOWER SIANG,0,4424,24,4448,0,2463,17,2480,1061,0,2479,17,2496,0,174372,1538,175910,72615,0,0,0,0
12,LOWER SUBANSIRI,0,14629,5,14634,0,1865,1,1866,1061,0,2124,1,2125,0,67080,27,67107,34184,0,6,0,6
13,NAMSAI,0,4882,10295,15177,0,4599,9950,14549,3430,0,4647,9991,14638,0,228409,502933,731342,171721,0,4,0,4
14,PAKKE KESSANG,3,4419,72,4494,3,4042,70,4115,1954,3,4042,70,4115,128,198711,2741,201580,96252,0,115,0,115
15,PAPUM PARE,5,19005,489,19499,5,17896,471,18372,8888,5,18078,472,18555,259,1060424,28248,1088931,516817,0,0,0,0
16,SHI YOMI,0,3039,0,3039,0,46,0,46,44,0,91,0,91,0,2033,0,2033,990,0,0,0,0
17,SIANG,0,5724,236,5960,0,1920,1,1921,558,0,1990,1,1991,0,101006,42,101048,28352,0,1,0,1
18,TAWANG,3,8286,110,8399,2,7895,105,8002,4445,2,7958,105,8065,58,221883,4016,225957,123048,0,0,0,0
19,TIRAP,0,9731,1,9732,0,8900,0,8900,2986,0,9924,0,9924,0,563329,0,563329,164186,0,163,0,163
20,UPPER DIBANG VALLEY,11,2927,61,2999,4,1481,21,1506,803,4,1482,21,1507,149,57549,824,58522,31126,0,0,0,0
21,UPPER SIANG,1,5393,27,5421,0,4891,19,4910,1414,0,4906,19,4925,0,170517,520,171037,49392,0,0,0,0
22,UPPER SUBANSIRI,0,18912,44,18956,0,17346,34,17380,7642,0,17379,34,17413,0,906481,2045,908526,391386,0,0,0,0
23,WEST KAMENG,0,9383,97,9480,0,6668,51,6719,2691,0,6866,51,6917,0,322845,2639,325484,127213,0,0,0,0
24,WEST SIANG,2,5899,44,5945,0,300,0,300,108,0,302,0,302,0,5226,0,5226,1788,0,0,0,0
25,CHATRA,69640,8419,127966,206025,19660,2015,43779,65454,35814,24043,2535,53467,80045,826131,88800,1918009,2832940,1252770,464,49,1227,1740
26,DEOGHAR,23954,29531,182478,235963,6686,7850,62277,76813,32623,8591,9122,73015,90728,300928,367654,2879984,3548566,1243163,38,90,496,624
27,DHANBAD,28161,34829,156460,219450,5178,8407,42598,56183,26948,6514,10183,51980,68677,245128,397823,2149312,2792263,1102914,215,269,1021,1505
28,DUMKA,12487,90193,134929,237609,3845,24804,56211,84860,40844,4750,30460,67228,102438,199086,1179995,2934162,4313243,1722006,147,929,2260,3336
29,EAST SINGHBUM,10642,116117,97595,224354,2091,25150,18958,46199,28727,2854,33783,25697,62334,88027,1095903,759234,1943164,853255,32,445,350,827
30,GARHWA,45883,31355,171064,248302,17785,11550,77557,106892,64959,25960,16074,104975,147009,796592,521629,3785088,5103309,2185377,238,159,1204,1601
31,GIRIDIH,30400,34528,264009,328937,9038,13012,104139,126189,70547,11460,15922,122849,150231,415417,625822,5125481,6166720,2919721,103,258,969,1330
32,GODDA,12465,48521,156724,217710,2190,11851,35946,49987,24144,2837,15022,45300,63159,105423,599822,1839722,2544967,933890,40,473,702,1215
33,GUMLA,8874,136267,57999,203140,1792,29064,14620,45476,23945,2360,38669,19253,60282,87218,1362638,742177,2192033,823627,78,1072,625,1775
34,HAZARIBAGH,43944,17040,160107,221091,9528,4183,47779,61490,33045,11683,5127,57462,74272,413548,182526,2216345,2812419,1262276,275,93,1328,1696
35,JAMTARA,12478,44720,83081,140279,4640,13874,39079,57593,26400,6165,17698,49862,73725,279893,776209,2344240,3400342,1159737,344,849,1913,3106
36,KHUNTI,4993,78891,23094,106978,1388,21331,6975,29694,14464,1835,27363,9182,38380,65202,956389,317879,1339470,474515,23,314,117,454
37,KODERMA,10202,1183,71934,83319,2813,403,28697,31913,19079,3457,463,33930,37850,128663,19165,1342984,1490812,758496,38,7,334,379
38,LATEHAR,24672,49890,78946,153508,10113,19005,35151,64269,34904,12762,24182,43151,80095,473415,834371,1654877,2962663,1275543,140,266,590,996
39,LOHARDAGA,3239,47108,25318,75665,1005,13156,6669,20830,14604,1456,19108,10090,30654,38760,516404,275242,830406,383261,24,508,198,730
40,PAKUR,5419,83750,86045,175214,786,14270,17068,32124,15556,1063,18266,22031,41360,34098,626942,752278,1413318,513114,2,52,83,137
41,PALAMU,90304,29217,180530,300051,34001,9209,59537,102747,55948,46437,12601,78986,138024,1327711,350207,2323159,4001077,1586661,480,88,1071,1639
42,RAMGARH,7065,21084,49966,78115,2164,7089,18968,28221,16912,3068,9943,26348,39359,119098,355555,995578,1470231,599087,97,362,722,1181
43,RANCHI,19719,158324,153673,331716,4139,31592,37028,72759,42046,5342,41678,49379,96399,171274,1331658,1655241,3158173,1327408,139,963,1319,2421
44,SAHEBGANJ,9224,60913,111507,181644,1663,12038,27775,41476,18408,1966,13363,31629,46958,62747,467700,1141010,1671457,658861,8,108,198,314
45,SARAIKELA KHARSAWAN,9296,72255,85712,167263,2505,20656,25791,48952,32718,3652,29057,36090,68799,128941,946363,1315856,2391160,1109453,116,761,888,1765
46,SIMDEGA,11744,81289,31679,124712,3306,24433,11431,39170,21122,4394,32005,14601,51000,151600,1152529,546946,1851075,729428,141,1040,484,1665
47,WEST SINGHBHUM,9414,225663,75750,310827,1098,26694,10323,38115,20803,1320,32544,12557,46421,41425,960334,416861,1418620,631303,22,185,89,296
48,BALLARI,62805,64434,149490,276729,30007,33645,72780,136432,143283,63079,72102,153168,288349,1666827,1911846,4075273,7653946,3852737,2893,2544,6643,12080
49,BELAGAVI,70188,45563,499382,615133,18633,14212,158473,191318,150882,30342,21995,247032,299369,761797,647787,6858699,8268283,4289826,1365,1301,12450,15116
50,BENGALURU,14400,1434,29951,45785,522,72,1379,1973,2009,1035,150,2821,4006,21870,2788,59108,83766,42357,4,0,13,17
51,BENGALURU RURAL,17953,4543,61271,83767,4330,1276,18420,24026,21983,8183,2549,35611,46343,190613,56674,925049,1172336,552974,220,66,1390,1676
52,BENGALURU SOUTH,28381,3549,137325,169255,12466,1535,74121,88122,82783,22780,2766,142912,168458,828323,105351,5302501,6236175,3024405,2251,304,14646,17201
53,BIDAR,42393,24436,101003,167832,17382,10145,40674,68201,60813,28918,17192,68959,115069,703230,455618,1886753,3045601,1611969,64,56,212,332
54,CHAMARAJA NAGARA,44821,18422,108658,171901,14050,5307,35818,55175,50467,26064,9707,65298,101069,657657,243552,1767209,2668418,1337773,313,126,862,1301
55,CHIKKABALLAPURA,45413,26322,114760,186495,14297,9197,42902,66396,62058,26389,17395,82783,126567,740089,496010,2399275,3635374,1776636,1178,1001,3904,6083
56,CHIKKAMAGALURU,32674,6539,107348,146561,8348,1669,40727,50744,46642,16060,3167,80368,99595,376647,73973,2126755,2577375,1193764,308,72,2127,2507
57,CHITRADURGA,62382,56566,166458,285406,24333,24746,66822,115901,106032,43398,43570,122369,209337,1222362,1406054,3594658,6223074,3213833,1425,3468,4878,9771
58,DAKSHINA KANNADA,17884,12210,99019,129113,1960,1790,22369,26119,21692,3406,3175,39926,46507,80415,80072,1130585,1291072,576472,93,89,1968,2150
59,DAVANAGERE,54637,36214,157469,248320,14615,11184,42710,68509,63381,27244,22914,84005,134163,683357,540722,2178204,3402283,1594282,751,480,2676,3907
60,DHARWAR,11181,7654,119896,138731,3419,2407,35342,41168,33535,6548,4530,66926,78004,157003,104359,1579553,1840915,771117,359,227,3327,3913
61,GADAG,24984,11075,108544,144603,12031,6309,57474,75814,69406,23497,12463,114194,150154,512426,265101,2412611,3190138,1453108,408,189,2211,2808
62,HASSAN,42918,4363,202076,249357,12828,1454,73797,88079,83658,24489,2854,145851,173194,613538,74661,3893020,4581219,2192927,879,83,4717,5679
63,HAVERI,31935,23291,158512,213738,9691,7967,50959,68617,59133,18418,15431,98441,132290,413869,367427,2394980,3176276,1408626,566,643,4248,5457
64,KALABURAGI,66714,3753,215595,286062,24612,1520,81204,107336,93013,41956,2684,134928,179568,1009823,69153,3404840,4483816,2348337,1190,92,4599,5881
65,KODAGU,7959,5045,53778,66782,951,557,9251,10759,9088,1637,938,16402,18977,39927,23351,444903,508181,237996,54,32,751,837
66,KOLAR,58086,12791,142485,213362,19582,4885,54157,78624,67145,33373,8728,93605,135706,1028315,267623,3151400,4447338,2206782,2293,671,8321,11285
67,KOPPAL,41401,32100,170583,244084,15900,14445,69111,99456,98436,30951,29742,137038,197731,750398,730992,3525244,5006634,2505279,714,709,3170,4593
68,MANDYA,35007,2474,243256,280737,6892,506,59498,66896,55878,11097,868,102082,114047,256893,19963,2571709,2848565,1378268,259,20,2573,2852
69,MYSURU,50451,32200,184855,267506,9195,5559,39199,53953,51461,17743,10887,76632,105262,338539,215224,1691394,2245157,1083686,283,195,1858,2336
70,RAICHUR,46746,57874,170030,274650,29627,38171,114077,181875,188909,59832,77500,231272,368604,1775529,2330399,6998890,11104818,5754830,3983,5495,16387,25865
71,SHIVAMOGGA,42935,9882,162605,215422,17710,4271,66284,88265,76086,31063,7410,114236,152709,602202,152806,2471061,3226069,1640783,643,164,3131,3938
72,TUMAKURU,61768,28402,298117,388287,13834,7054,83844,104732,96663,26000,13478,157100,196578,655723,344198,4408066,5407987,2637156,838,514,7949,9301
73,UDUPI,4729,4390,61061,70180,591,494,10038,11123,12431,1011,954,18143,20108,23816,18129,383969,425914,271572,23,5,360,388
74,UTTARA KANNADA,11793,5145,146035,162973,2532,1527,34327,38386,31381,4068,2562,57933,64563,91599,60852,1291380,1443831,697472,107,100,1871,2078
75,VIJAYPURA,49569,3359,193014,245942,17099,1034,71137,89270,69315,30275,1953,126335,158563,896336,57365,3971354,4925055,2061604,2119,160,10838,13117
76,Yadgir,35371,17470,129285,182126,11951,6264,44564,62779,44934,18058,9559,64648,92265,551227,295205,2021513,2867945,1395249,1056,538,3662,5256
77,ERNAKULAM,35972,2398,201171,239541,14288,1412,64102,79802,76244,15817,1933,71880,89630,873363,99307,3630559,4603229,4186243,3119,323,12795,16237
78,IDUKKI,22483,16180,159673,198336,12736,11232,84799,108767,101819,16079,16754,119274,152107,583239,925545,4478047,5986831,4390680,1000,3811,11001,15812
79,KANNUR,7720,9703,205846,223269,2980,5522,71505,80007,78396,3275,7028,77353,87656,157850,384458,3757203,4299511,4098202,472,1358,12890,14720
80,KASARGOD,6366,17217,134636,158219,2851,9633,54358,66842,63576,3240,12153,61845,77238,166865,693574,3010678,3871117,3540412,489,2668,10160,13317
81,KOLLAM,34817,1675,329161,365653,16886,1207,125717,143810,135041,19586,1535,142807,163928,967155,90310,6466969,7524434,6641594,3517,279,24129,27925
82,KOTTAYAM,18139,4562,173088,195789,7751,1785,52136,61672,60662,8796,2279,58796,69871,459239,133017,3251346,3843602,3585113,1461,573,12690,14724
83,KOZHIKODE,26499,3579,279095,309173,14244,1960,125355,141559,133704,16031,2469,138614,157114,986048,180919,7243608,8410575,7807228,3958,857,26633,31448
84,MALAPPURAM,46776,3657,280703,331136,23098,2132,61914,87144,78116,25160,2860,68500,96520,1624978,154002,3113980,4892960,4415840,7410,566,12745,20721
85,PALAKKAD,78209,16402,264594,359205,41942,9964,102989,154895,151872,46321,13508,116531,176360,1961149,890401,4342475,7194025,6433955,3213,3983,5740,12936
86,PATHANAMTHITTA,24050,1588,119298,144936,12605,819,38536,51960,51624,14693,1009,43816,59518,769131,57018,2321723,3147872,2884013,2526,196,7232,9954
87,THIRUVANANTHAPURAM,38688,6106,357813,402607,20590,4486,148636,173712,168407,23205,5806,168625,197636,1109266,394674,8428513,9932453,8872427,2170,1727,19286,23183
88,THRISSUR,64232,1672,221275,287179,23976,939,61096,86011,82164,26312,1300,67085,94697,1643743,75774,3563409,5282926,4916114,7290,305,15099,22694
89,WAYANAD,4817,40010,101771,146598,2477,19945,37878,60300,55587,2918,24180,44753,71851,161665,1399198,2121895,3682758,3205099,575,4848,7863,13286
90,LEH (LADAKH),0,16808,1,16809,0,12926,0,12926,10766,0,18804,0,18804,0,814176,0,814176,476637,0,592,0,592
91,ALIRAJPUR,20600,97598,6674,124872,11291,52617,3691,67599,57638,24866,104580,7317,136763,609220,2832898,193692,3635810,1405348,298,1511,98,1907
92,ANUPPUR,13541,75465,47530,136536,7812,47789,25832,81433,67726,13399,82991,43882,140272,397516,2444846,1333493,4175855,1983928,233,1671,805,2709
93,ASHOK NAGAR,16324,8347,60177,84848,7795,2848,26213,36856,23285,13827,4497,46458,64782,456924,133194,1493826,2083944,645683,119,35,280,434
94,BALAGHAT,16260,64622,222346,303228,9790,46640,133112,189542,169342,16744,84171,224641,325556,466099,2448353,5809528,8723980,4733343,228,2264,2130,4622
95,BARWANI,18879,112402,23342,154623,8959,61951,11280,82190,74912,20677,125206,22701,168584,469357,3250169,579246,4298772,1796806,282,1684,262,2228
96,BETUL,28158,105032,69767,202957,15515,59389,38095,112999,82684,25807,96161,61610,183578,714776,2511279,1727968,4954023,2228212,281,1268,812,2361
97,BHIND,24032,495,96094,120621,8256,68,44152,52476,27452,13201,111,67415,80727,455575,3658,2594789,3054022,973731,201,2,858,1061
98,BHOPAL,7193,3432,35384,46009,3091,833,16631,20555,9606,4429,1133,23142,28704,165428,41348,935648,1142424,334404,16,7,127,150
99,BURHANPUR,15060,27705,34676,77441,5506,10866,11158,27530,21636,10763,20030,20095,50888,275649,547236,549719,1372604,546378,187,341,284,812
100,CHHATARPUR,36253,16058,122413,174724,13951,5947,58083,77981,48681,23945,10433,98781,133159,764793,312800,3338180,4415773,1399241,328,139,1373,1840
101,CHHINDWARA,40896,115721,82459,239076,24412,77869,40119,142400,107918,39916,129953,64510,234379,1333145,4183298,2056797,7573240,3484142,838,2792,1369,4999
102,DAMOH,32617,31954,109869,174440,13589,14778,43305,71672,42142,21768,22792,68728,113288,714442,838046,2300293,3852781,1269470,318,491,992,1801
103,DATIA,13960,1735,26654,42349,5646,536,12792,18974,8384,8277,765,18073,27115,354666,31650,826245,1212561,315229,131,7,350,488
104,DEWAS,31250,33783,77472,142505,12257,15009,34072,61338,30864,19845,24066,54533,98444,705197,881384,2064441,3651022,951442,223,287,786,1296
105,DHAR,36924,228926,76551,342401,11792,93107,24686,129585,133122,27906,213873,60143,301922,614591,4904749,1307676,6827016,2899241,270,1705,479,2454
106,DINDORI,6540,93004,85666,185210,5336,77318,68268,150922,124945,9615,132217,120474,262306,296564,4504790,3888051,8689405,3899733,323,6242,4629,11194
107,GUNA,21483,27737,107788,157008,7082,7574,36176,50832,29315,11505,12790,58522,82817,390329,400368,2024602,2815299,862698,41,154,390,585
108,GWALIOR,16221,7109,53235,76565,6657,2342,24288,33287,14434,9888,3460,32949,46297,417924,150880,1593739,2162543,550733,256,115,1208,1579
109,HARDA,10047,18446,13198,41691,4500,8979,5882,19361,14936,7993,16941,10716,35650,216913,438140,325216,980269,379557,175,362,239,776
110,INDORE,11697,13590,35044,60331,3802,4648,13233,21683,10654,5715,7520,19312,32547,222882,262194,792028,1277104,357281,63,74,219,356
111,JABALPUR,29343,40306,64864,134513,12718,19820,24356,56894,37565,20519,31353,38600,90472,560928,782075,1145594,2488597,945482,175,233,292,700
112,JHABUA,9790,185465,12884,208139,5226,90592,5761,101579,94343,10997,182349,11786,205132,269630,4583433,293881,5146944,2280846,103,2065,135,2303
113,KATNI,24280,46694,81371,152345,14760,30060,41319,86139,69734,25223,49386,72266,146875,782197,1601644,2117559,4501400,2148451,256,662,811,1729
114,KHANDWA,13355,59118,104880,177353,4736,25022,41059,70817,51979,8400,44855,74192,127447,224267,1140714,2044512,3409493,1280432,171,601,963,1735
115,KHARGONE,29494,103080,87659,220233,8411,40526,31360,80297,50716,14078,67039,53526,134643,447875,2115806,1783937,4347618,1422388,262,1653,903,2818
116,MANDLA,16518,125816,75792,218126,11651,99391,54486,165528,141814,20952,174495,95644,291091,559082,5363237,2721741,8644060,4123367,330,4381,1528,6239
117,MANDSAUR,32437,8285,116112,156834,12068,2133,47680,61881,44666,21845,3890,94552,120287,699985,130570,2919528,3750083,1163797,328,62,1049,1439
118,MORENA,25781,3563,134820,164164,15228,2357,86419,104004,50306,20427,3371,125269,149067,968211,164677,5630681,6763569,2224458,265,40,1578,1883
119,NARMADAPURAM,13956,22686,40111,76753,5016,9142,14119,28277,16226,8121,14439,21634,44194,247091,446027,790184,1483302,469574,75,173,247,495
120,NARSINGHPUR,21096,22579,69983,113658,7183,7922,27622,42727,23139,11694,13217,43108,68019,341587,368904,1553218,2263709,646661,78,101,368,547
121,NEEMUCH,9809,7563,54683,72055,3016,2192,20222,25430,11801,4522,3099,29092,36713,154165,111119,1135970,1401254,396522,35,27,237,299
122,PANNA,28923,25670,76337,130930,13382,12439,33066,58887,39842,22202,20195,55859,98256,700642,633364,1731229,3065235,1108383,210,260,522,992
123,RAISEN,20366,20775,57082,98223,9867,9542,28756,48165,27833,16109,16765,48499,81373,512558,489589,1615180,2617327,766924,180,254,674,1108
124,RAJGARH,40781,6829,183273,230883,15120,2423,86921,104464,74090,26298,4056,151634,181988,793960,117791,4888969,5800720,2161142,174,15,1175,1364
125,RATLAM,52112,45243,67124,164479,16558,18704,25959,61221,36102,26018,30663,39972,96653,888491,1057034,1483758,3429283,1123803,454,559,744,1757
126,REWA,36129,33341,119356,188826,15201,14433,48642,78276,44557,22763,21627,72765,117155,726816,698943,2558029,3983788,1332284,278,193,875,1346
127,SAGAR,44962,44949,165205,255116,15598,15755,56711,88064,41067,22804,23149,83010,128963,752937,748291,2755069,4256297,1120115,158,168,663,989
128,SATNA,34666,36962,90456,162084,14871,15894,43459,74224,49184,25336,26388,75459,127183,735699,758824,2311532,3806055,1321562,162,254,353,769
129,SEHORE,30815,21840,77753,130408,8425,5591,22459,36475,22371,13965,9623,36959,60547,485016,342903,1349062,2176981,694820,77,205,278,560
130,SEONI,26366,96129,79488,201983,15587,60525,44683,120795,102172,27669,107731,77396,212796,735605,2863253,2127445,5726303,2793757,288,1199,724,2211
131,SHAHDOL,25651,82562,52864,161077,13852,49338,25794,88984,72862,24384,84234,44011,152629,663332,2354167,1287579,4305078,2025152,470,2074,1171,3715
132,SHAJAPUR,16370,10268,54838,81476,8297,3406,28176,39879,19604,12933,5707,41802,60442,485925,208971,1622423,2317319,646056,117,59,360,536
133,SHEOPUR,12084,22855,61209,96148,6303,10402,36394,53099,34651,10576,15760,62623,88959,390112,600153,2252336,3242601,1125926,99,385,629,1113
134,SHIVPURI,27869,30464,101117,159450,12707,11820,49616,74143,41947,19766,17425,79115,116306,719034,612773,2917180,4248987,1360820,251,271,1007,1529
135,SIDHI,21626,37241,60418,119285,11869,22530,33766,68165,50334,20722,37596,59139,117457,613387,1124207,1812579,3550173,1416095,150,397,526,1073
136,SINGRAULI,32480,54177,87792,174449,14108,24225,35867,74200,49734,23000,38342,59144,120486,635790,1053918,1692812,3382520,1262927,161,315,303,779
137,TIKAMGARH,20202,20640,94077,134919,10828,9921,52559,73308,42867,16660,15788,87077,119525,661805,613394,3335281,4610480,1404315,309,259,1229,1797
138,UJJAIN,42467,12415,78097,132979,14528,2112,26438,43078,26209,25126,3822,45581,74529,821539,111524,1528506,2461569,751720,325,23,670,1018
139,UMARIA,9630,57498,52877,120005,4988,34059,24402,63449,46910,7953,54013,38147,100113,254013,1675509,1202692,3132214,1417834,123,1380,595,2098
140,VIDISHA,22296,7306,81753,111355,10916,3488,50068,64472,29085,15259,4950,74825,95034,606529,194361,2982551,3783441,939297,191,108,1249,1548
141,AKOLA,33428,9502,169093,212023,7897,1728,29912,39537,19939,11993,2487,44192,58672,245794,55500,938864,1240158,444441,346,110,1417,1873
142,AMRAVATI,34309,56814,253756,344879,11014,27187,57769,95970,76881,20175,64185,103887,188247,893199,2189126,3980317,7062642,2499063,2800,7213,11782,21795
143,BEED,13776,1714,338141,353631,1975,164,44396,46535,49513,3763,314,115404,119481,78218,8010,2945332,3031560,1301327,149,17,8268,8434
144,BHANDARA,33516,15467,176287,225270,17216,8250,82053,107519,111983,31050,14959,149280,195289,550692,276066,2712153,3538911,2070101,553,328,3208,4089
145,BULDHANA,31894,7440,275587,314921,6229,1451,42226,49906,23959,8831,2073,60002,70906,195332,45929,1497050,1738311,571747,293,85,2858,3236
146,CHANDRAPUR,37358,53506,184748,275612,13496,18745,55450,87691,80373,24600,35137,101963,161700,499123,765754,2012603,3277480,1503954,684,1429,3281,5394
147,Chatrapati Sambhaji Nagar,18501,8958,436666,464125,2595,926,31872,35393,24136,4268,1457,52545,58270,92663,33129,1394457,1520249,647139,110,52,2999,3161
148,Dharashiv,32082,2232,173957,208271,3944,186,21953,26083,18641,6621,356,39370,46347,123940,6879,1058575,1189394,495088,154,11,2597,2762
149,DHULE,18297,66278,167585,252160,2495,15125,31154,48774,36203,4531,30625,56351,91507,86899,521435,1280315,1888649,744989,123,643,2343,3109
150,GADCHIROLI,20029,65318,78958,164305,9504,29446,30998,69948,71289,18910,64604,62629,146143,307136,939299,880880,2127315,1019305,296,1080,905,2281
151,GONDIA,25710,34817,218419,278946,12844,20780,92570,126194,122485,22904,38899,154940,216743,528720,851856,3881250,5261826,2946990,979,1591,7824,10394
152,HINGOLI,38437,34823,76577,149837,8463,8194,24127,40784,27851,14556,14484,42190,71230,342606,360865,1139873,1843344,737105,617,730,2432,3779
153,JALGAON,38243,48267,263601,350111,4846,4902,36190,45938,25558,8069,7782,58384,74235,153803,161270,1125374,1440447,508031,144,246,1357,1747
154,JALNA,15648,2517,254202,272367,1838,330,38607,40775,37529,3567,643,78916,83126,55611,10347,1340284,1406242,664875,61,16,2336,2413
155,KOLHAPUR,27024,620,183528,211172,3694,34,11098,14826,11575,7446,67,19492,27005,98934,916,272808,372658,160845,17,0,202,219
156,LATUR,50775,3862,175134,229771,9688,364,19343,29395,20888,17237,604,33509,51350,306245,13655,850414,1170314,522498,311,27,1805,2143
157,NAGPUR,27014,21429,139257,187700,6923,4820,27490,39233,22271,10707,6926,39160,56793,339632,222232,1373056,1934920,649413,839,563,3727,5129
158,NANDED,75791,37347,278266,391404,12073,4759,33623,50455,37925,20059,7745,58700,86504,480574,206812,1741765,2429151,1130138,938,545,4036,5519
159,NANDURBAR,11151,254853,47432,313436,2846,76292,8957,88095,59172,4876,123733,14331,142940,85399,2182333,264833,2532565,1010272,70,1665,227,1962
160,NASHIK,9167,127225,260164,396556,1878,28948,31391,62217,40854,3869,53384,52326,109579,64699,1014417,1056321,2135437,773298,38,1295,1155,2488
161,PALGHAR,1696,155458,30236,187390,281,49351,4633,54265,56828,527,100840,8329,109696,9470,2305720,145833,2461023,1305734,18,5815,265,6098
162,PARBHANI,22989,2654,188264,213907,3437,198,20481,24116,16350,6029,357,36903,43289,82880,6974,755481,845335,315502,54,11,1348,1413
163,PUNE,14507,19964,180729,215200,1413,1071,10040,12524,10111,2869,1790,18868,23527,57339,35013,439999,532351,246586,64,40,888,992
